content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Gimana sih orang shopee ini aplikasinya berat lihat lihat barang saja di scrol suka mentok walaupun menggunakan jaringan wifi sama aja pada akhirnya terhenti sendiri jadi rusak aplikasinya terditeksi di pemelihara perangkat brengsek! Kalau sudah tidak becus orang orang shoper ngurus aplikasinya mendingan hapus saja aplikasi shopee ini secara permanin masih banyak aplikasi belanja lainnya yg lebih enak, kurangajar orang shopee voucher diskon dan gratis ongkir kebanyakan yg habis setelah di klaim",1,Negatif,gimana sih orang shopee ini aplikasinya berat lihat lihat barang saja di scrol suka mentok walaupun menggunakan jaringan wifi sama aja pada akhirnya terhenti sendiri jadi rusak aplikasinya terditeksi di pemelihara perangkat brengsek kalau sudah tidak becus orang orang shoper ngurus aplikasinya mendingan hapus saja aplikasi shopee ini secara permanin masih banyak aplikasi belanja lainnya yg lebih enak kurangajar orang shopee voucher diskon dan gratis ongkir kebanyakan yg habis setelah di klaim,gimana sih orang shopee aplikasinya berat lihat lihat barang scrol suka mentok jaringan wifi aja terhenti rusak aplikasinya terditeksi pemelihara perangkat brengsek becus orang orang shoper ngurus aplikasinya mendingan hapus aplikasi shopee permanin aplikasi belanja yg enak kurangajar orang shopee voucher diskon gratis ongkir kebanyakan yg habis klaim,"['gimana', 'sih', 'orang', 'shopee', 'aplikasinya', 'berat', 'lihat', 'lihat', 'barang', 'scrol', 'suka', 'mentok', 'jaringan', 'wifi', 'aja', 'terhenti', 'rusak', 'aplikasinya', 'terditeksi', 'pemelihara', 'perangkat', 'brengsek', 'becus', 'orang', 'orang', 'shoper', 'ngurus', 'aplikasinya', 'mendingan', 'hapus', 'aplikasi', 'shopee', 'permanin', 'aplikasi', 'belanja', 'yg', 'enak', 'kurangajar', 'orang', 'shopee', 'voucher', 'diskon', 'gratis', 'ongkir', 'kebanyakan', 'yg', 'habis', 'klaim']",gimana sih orang shopee aplikasi berat lihat lihat barang scrol suka mentok jaring wifi aja henti rusak aplikasi teks pelihara perangkat brengsek becus orang orang shoper ngurus aplikasi mending hapus aplikasi shopee permanin aplikasi belanja yg enak kurangajar orang shopee voucher diskon gratis ongkir banyak yg habis klaim
"Dah bagus cuma sering ngelag aja kalo pencet keranjang. Apalagi kalo lagi milih produk yang mau dipilih, suka ngelag banget kadang kagak bisa dipencet.",5,Positif,dah bagus cuma sering ngelag aja kalo pencet keranjang apalagi kalo lagi milih produk yang mau dipilih suka ngelag banget kadang kagak bisa dipencet,dah bagus ngelag aja kalo pencet keranjang kalo milih produk dipilih suka ngelag banget kadang kagak dipencet,"['dah', 'bagus', 'ngelag', 'aja', 'kalo', 'pencet', 'keranjang', 'kalo', 'milih', 'produk', 'dipilih', 'suka', 'ngelag', 'banget', 'kadang', 'kagak', 'dipencet']",dah bagus ngelag aja kalo pencet keranjang kalo milih produk pilih suka ngelag banget kadang kagak pencet
"Kalo skr blanja di Shopee dikemasnya smpi 2 atau 3 hari,belum ada seller yg melayani penjualan hari ini dikirim hari ini jg,kalo penjualnya rata² ramah dan amanah, lambat pengirimannya aja",5,Positif,kalo skr blanja di shopee dikemasnya smpi  atau  haribelum ada seller yg melayani penjualan hari ini dikirim hari ini jgkalo penjualnya rata ramah dan amanah lambat pengirimannya aja,kalo skr blanja shopee dikemasnya smpi haribelum seller yg melayani penjualan dikirim jgkalo penjualnya ramah amanah lambat pengirimannya aja,"['kalo', 'skr', 'blanja', 'shopee', 'dikemasnya', 'smpi', 'haribelum', 'seller', 'yg', 'melayani', 'penjualan', 'dikirim', 'jgkalo', 'penjualnya', 'ramah', 'amanah', 'lambat', 'pengirimannya', 'aja']",kalo skr blanja shopee kemas smpi haribelum seller yg layan jual kirim jgkalo jual ramah amanah lambat kirim aja
"Mau login aja di persulit sama sitem nya yang gangguan wow!!! Sangat membantu!!! Edit: wow di suruh update aplikasi sama pastiin jaringan stabil!? Segitu gua baru download aplikasi nya hari ini juga! Dan sinyal gua bagus,stabil,lancar, sampe bisa nonton YouTube 4k!!!!",1,Negatif,mau login aja di persulit sama sitem nya yang gangguan wow sangat membantu edit wow di suruh update aplikasi sama pastiin jaringan stabil segitu gua baru download aplikasi nya hari ini juga dan sinyal gua bagusstabillancar sampe bisa nonton youtube k,login aja persulit sitem nya gangguan wow membantu edit wow suruh update aplikasi pastiin jaringan stabil segitu gua download aplikasi nya sinyal gua bagusstabillancar sampe nonton youtube k,"['login', 'aja', 'persulit', 'sitem', 'nya', 'gangguan', 'wow', 'membantu', 'edit', 'wow', 'suruh', 'update', 'aplikasi', 'pastiin', 'jaringan', 'stabil', 'segitu', 'gua', 'download', 'aplikasi', 'nya', 'sinyal', 'gua', 'bagusstabillancar', 'sampe', 'nonton', 'youtube', 'k']",login aja sulit sitem nya ganggu wow bantu edit wow suruh update aplikasi pastiin jaring stabil segitu gua download aplikasi nya sinyal gua bagusstabillancar sampe nonton youtube k
Aku beri bintang empat karena : Masa gabisa cod. Gabisa diantar ditempat. Setiap yang murah gabisa cod dan ga bisa di antar di tempat sedng kan yang mahal sebalik nya. Mohon perbaiki ya mimin Nnti klo udah diperbaiki aju kasih bintng lima☺,4,Positif,aku beri bintang empat karena  masa gabisa cod gabisa diantar ditempat setiap yang murah gabisa cod dan ga bisa di antar di tempat sedng kan yang mahal sebalik nya mohon perbaiki ya mimin nnti klo udah diperbaiki aju kasih bintng lima,bintang gabisa cod gabisa diantar ditempat murah gabisa cod ga sedng mahal sebalik nya mohon perbaiki ya mimin nnti klo udah diperbaiki aju kasih bintng,"['bintang', 'gabisa', 'cod', 'gabisa', 'diantar', 'ditempat', 'murah', 'gabisa', 'cod', 'ga', 'sedng', 'mahal', 'sebalik', 'nya', 'mohon', 'perbaiki', 'ya', 'mimin', 'nnti', 'klo', 'udah', 'diperbaiki', 'aju', 'kasih', 'bintng']",bintang gabisa cod gabisa antar tempat murah gabisa cod ga sedng mahal balik nya mohon baik ya mimin nnti klo udah baik aju kasih bintng
"Sangat kecwa , gak bisa bayar cicilan, tapi bunga saya terus bertambah, sementara mo di bayar tidak bisa no virtual gak di temukan, memang tolol shope, kapok",1,Negatif,sangat kecwa  gak bisa bayar cicilan tapi bunga saya terus bertambah sementara mo di bayar tidak bisa no virtual gak di temukan memang tolol shope kapok,kecwa gak bayar cicilan bunga bertambah mo bayar no virtual gak temukan tolol shope kapok,"['kecwa', 'gak', 'bayar', 'cicilan', 'bunga', 'bertambah', 'mo', 'bayar', 'no', 'virtual', 'gak', 'temukan', 'tolol', 'shope', 'kapok']",kecwa gak bayar cicil bunga tambah mo bayar no virtual gak temu tolol shope kapok
"saya jualan craft merch, agak ribet kalo gak setting toko jadi pre-order karna saya jualan sendirian ga ada yg bantuin. baru tau kalo ternyata setting semua etalase jadi pre-order kena penalty. bisa dipertimbangkan lagi mungkin untuk aturan tersebut karna menyulitkan seller² yang produknya handmade skala kecil. apalagi gak semua seller fokus jualan aja, ada yang kerja sambil jualan juga, jadi butuh waktu lebih untuk mengemas orderan",1,Negatif,saya jualan craft merch agak ribet kalo gak setting toko jadi preorder karna saya jualan sendirian ga ada yg bantuin baru tau kalo ternyata setting semua etalase jadi preorder kena penalty bisa dipertimbangkan lagi mungkin untuk aturan tersebut karna menyulitkan seller yang produknya handmade skala kecil apalagi gak semua seller fokus jualan aja ada yang kerja sambil jualan juga jadi butuh waktu lebih untuk mengemas orderan,jualan craft merch ribet kalo gak setting toko preorder karna jualan ga yg bantuin tau kalo setting etalase preorder kena penalty dipertimbangkan aturan karna menyulitkan seller produknya handmade skala gak seller fokus jualan aja kerja jualan butuh mengemas orderan,"['jualan', 'craft', 'merch', 'ribet', 'kalo', 'gak', 'setting', 'toko', 'preorder', 'karna', 'jualan', 'ga', 'yg', 'bantuin', 'tau', 'kalo', 'setting', 'etalase', 'preorder', 'kena', 'penalty', 'dipertimbangkan', 'aturan', 'karna', 'menyulitkan', 'seller', 'produknya', 'handmade', 'skala', 'gak', 'seller', 'fokus', 'jualan', 'aja', 'kerja', 'jualan', 'butuh', 'mengemas', 'orderan']",jual craft merch ribet kalo gak setting toko preorder karna jual ga yg bantuin tau kalo setting etalase preorder kena penalty timbang atur karna sulit seller produk handmade skala gak seller fokus jual aja kerja jual butuh emas order
"Saya adalah pengguna layanan belanja online Shopee lebih dari 3 tahun, dulu sempat vakum tidak menggunakan Shopee dan beralih ke aplikasi belanja online yg di sebelah, tapi akhirnya saya kembali menggunakan Shopee lagi karena emang Shopee yg terbaik dan sekarang saya sudah member Gold, dan lebih banyak diskon kalau belanja dan I like Shopee, good jobs buat Shopee sangat bermanfaat banget dan lanjutkan.....!",5,Positif,saya adalah pengguna layanan belanja online shopee lebih dari  tahun dulu sempat vakum tidak menggunakan shopee dan beralih ke aplikasi belanja online yg di sebelah tapi akhirnya saya kembali menggunakan shopee lagi karena emang shopee yg terbaik dan sekarang saya sudah member gold dan lebih banyak diskon kalau belanja dan i like shopee good jobs buat shopee sangat bermanfaat banget dan lanjutkan,pengguna layanan belanja online shopee vakum shopee beralih aplikasi belanja online yg sebelah shopee emang shopee yg terbaik member gold diskon belanja i like shopee good jobs shopee bermanfaat banget lanjutkan,"['pengguna', 'layanan', 'belanja', 'online', 'shopee', 'vakum', 'shopee', 'beralih', 'aplikasi', 'belanja', 'online', 'yg', 'sebelah', 'shopee', 'emang', 'shopee', 'yg', 'terbaik', 'member', 'gold', 'diskon', 'belanja', 'i', 'like', 'shopee', 'good', 'jobs', 'shopee', 'bermanfaat', 'banget', 'lanjutkan']",guna layan belanja online shopee vakum shopee alih aplikasi belanja online yg belah shopee emang shopee yg baik member gold diskon belanja i like shopee good jobs shopee manfaat banget lanjut
"Bebas pengembalian apa? Prosesnya ribet lama, tinjau dulu, kirim ini dulu, belum lagi nunggu konfirmasi dari penjual untuk penerimaan barang nya,,, proses lagi...... lamaaaaaaaaa",1,Negatif,bebas pengembalian apa prosesnya ribet lama tinjau dulu kirim ini dulu belum lagi nunggu konfirmasi dari penjual untuk penerimaan barang nya proses lagi lamaaaaaaaaa,bebas pengembalian prosesnya ribet tinjau kirim nunggu konfirmasi penjual penerimaan barang nya proses lamaaaaaaaaa,"['bebas', 'pengembalian', 'prosesnya', 'ribet', 'tinjau', 'kirim', 'nunggu', 'konfirmasi', 'penjual', 'penerimaan', 'barang', 'nya', 'proses', 'lamaaaaaaaaa']",bebas kembali proses ribet tinjau kirim nunggu konfirmasi jual terima barang nya proses lamaaaaaaaaa
"Mau gabung Shopee affiliate aja dipersulit,harus wajib punya NPWP. Harusnya kebijakan wajib itu buat yang komisi berjuta""an. Atau kayak aplikasi tiktok dan lazada gak perlu pake NPWP. Komisi saya masih ribuan,gak sampai ratusan ribu masa harus wajib pajak juga. Parah Shopee sekarang,bikin kecewa dan malas belanja. Sekarang juga admin untuk penjual juga dinaikkan, parah lo. Makin serakah!!",1,Negatif,mau gabung shopee affiliate aja dipersulitharus wajib punya npwp harusnya kebijakan wajib itu buat yang komisi berjutaan atau kayak aplikasi tiktok dan lazada gak perlu pake npwp komisi saya masih ribuangak sampai ratusan ribu masa harus wajib pajak juga parah shopee sekarangbikin kecewa dan malas belanja sekarang juga admin untuk penjual juga dinaikkan parah lo makin serakah,gabung shopee affiliate aja dipersulitharus wajib npwp kebijakan wajib komisi berjutaan kayak aplikasi tiktok lazada gak pake npwp komisi ribuangak ratusan ribu wajib pajak parah shopee sekarangbikin kecewa malas belanja admin penjual dinaikkan parah lo serakah,"['gabung', 'shopee', 'affiliate', 'aja', 'dipersulitharus', 'wajib', 'npwp', 'kebijakan', 'wajib', 'komisi', 'berjutaan', 'kayak', 'aplikasi', 'tiktok', 'lazada', 'gak', 'pake', 'npwp', 'komisi', 'ribuangak', 'ratusan', 'ribu', 'wajib', 'pajak', 'parah', 'shopee', 'sekarangbikin', 'kecewa', 'malas', 'belanja', 'admin', 'penjual', 'dinaikkan', 'parah', 'lo', 'serakah']",gabung shopee affiliate aja dipersulitharus wajib npwp bijak wajib komisi juta kayak aplikasi tiktok lazada gak pake npwp komisi ribuangak ratus ribu wajib pajak parah shopee sekarangbikin kecewa malas belanja admin jual naik parah lo serakah
